Line #,Name,Description,Designator,Revision ID,Revision Status,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","URB2405YMD-20WR3","20W isolated DC-DC converter DIP package, Ultra-wide input and regulated single output","B1","","","TDPOWER","TURB2405YMD-20WR3S","Unknown","","","",""
"","FOD8314","Logic Output Optocouplers 1.0A Output Gate Driver Optocoupler","B2","","","ON Semiconductor / Fairchild","FOD8314","Volume Production","Arrow Electronics","FOD8314","0.5898","3.54"
"","FOD8314","Logic Output Optocouplers 1.0A Output Gate Driver Optocoupler","B3","","","ON Semiconductor / Fairchild","FOD8314","Volume Production","Arrow Electronics","FOD8314","0.5898","3.54"
"","FOD8314","Logic Output Optocouplers 1.0A Output Gate Driver Optocoupler","B4","","","ON Semiconductor / Fairchild","FOD8314","Volume Production","Arrow Electronics","FOD8314","0.5898","3.54"
"","FOD8314","Logic Output Optocouplers 1.0A Output Gate Driver Optocoupler","B5","","","ON Semiconductor / Fairchild","FOD8314","Volume Production","Arrow Electronics","FOD8314","0.5898","3.54"
"","FOD8314","Logic Output Optocouplers 1.0A Output Gate Driver Optocoupler","B6","","","ON Semiconductor / Fairchild","FOD8314","Volume Production","Arrow Electronics","FOD8314","0.5898","3.54"
"","FOD8314","Logic Output Optocouplers 1.0A Output Gate Driver Optocoupler","B7","","","ON Semiconductor / Fairchild","FOD8314","Volume Production","Arrow Electronics","FOD8314","0.5898","3.54"
"","MT3608","High Efficiency 1.2MHz 2A Step Up Converter","B8","","","Olimex","PACKOF10PCSMT3608","Unknown","","","",""
"","GRT31CR61H106ME01L","CAP CER 10UF 50V X5R 1206","C1","CMP-06035-048951-1","Up to date","Murata","GRT31CR61H106ME01L","Volume Production","","","",""
"","TCA1A226M8R","22ÂµF Molded Tantalum Capacitors 10V 1206 (3216 Metric)","C2","","","","","","","","",""
"","GRT31CR61H106ME01L","CAP CER 10UF 50V X5R 1206","C3","CMP-06035-048951-1","Up to date","Murata","GRT31CR61H106ME01L","Volume Production","","","",""
"","GRT31CR61H106ME01L","CAP CER 10UF 50V X5R 1206","C4","CMP-06035-048951-1","Up to date","Murata","GRT31CR61H106ME01L","Volume Production","","","",""
"","GRT31CR61H106ME01L","CAP CER 10UF 50V X5R 1206","C5","CMP-06035-048951-1","Up to date","Murata","GRT31CR61H106ME01L","Volume Production","","","",""
