Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\RP2040 _4 Layer_TEX(21052025)\Project Outputs for RP2040 _4 Layer_TEX(21052025)\Pick Place for RP2040_GSM.csv

========================================================================================================================
File Design Information:

Date:       14-06-25
Time:       11:15
Revision:   a996d3559469f5796a3b69479d7f223419f3cb41
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J9","CONREVSMA002-G","TopLayer","LINX_CONREVSMA002-G","6167.000","3475.000","90","RP-SMA Female Right-Angle Through-Hole Mount Connector, Gold"
"C36","100nF","TopLayer","FP-C0402-BB-MFG","2248.752","3643.236","180","CAP CER 0.1UF 10V X5R 0402"
"D23","ESDALC5-1BM2","TopLayer","STM-SOD-882_V","4239.000","952.000","180","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel"
"D22","ESDALC5-1BM2","TopLayer","STM-SOD-882_V","5494.000","841.000","90","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel"
"D21","ESDALC5-1BM2","TopLayer","STM-SOD-882_V","5438.000","840.000","90","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel"
"D20","ESDALC5-1BM2","TopLayer","STM-SOD-882_V","5812.000","1292.284","90","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel"
"D19","ESDALC5-1BM2","TopLayer","STM-SOD-882_V","5964.618","1341.630","90","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel"
"D18","ESDALC5-1BM2","TopLayer","STM-SOD-882_V","5552.000","841.716","90","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel"
"D17","ESDALC5-1BM2","TopLayer","STM-SOD-882_V","5762.000","1300.175","90","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel"
"D16","ESDALC5-1BM2","TopLayer","STM-SOD-882_V","4345.434","951.587","180","Single Line Low Capacitance Transil™, 5 V, -55 to 150 degC, 2-Pin SOD-882, RoHS, Tape and Reel"
"X2","EVQ-PE104K","TopLayer","EVQPE104K","247.000","1640.000","180","Switch Tactile N.O. SPST Rectangular Button J-Bend 0.05A 12VDC 1N SMD T/R"
"U7","W25Q32JVSSIQ","TopLayer","SOIC127P790X216-8N","1958.000","3455.000","0","FLASH - NOR Memory IC 32Mb (4M x 8) SPI - Quad I/O 133 MHz 8-SOIC"
"J3","1932788-1","TopLayer","TE_1932788-1","6207.638","2673.091","90",""
"X1","EVQ-PE104K","TopLayer","EVQPE104K","5897.000","3760.000","0","Switch Tactile N.O. SPST Rectangular Button J-Bend 0.05A 12VDC 1N SMD T/R"
"TP11","Test Point","TopLayer","TEST_POINT_SMD_30D","3445.000","1792.000","90","TEST POINT PC MINI .040"D RED"
"R83","2.2R","TopLayer","FP-CRCW0402-e3-IPC_C","5968.000","1252.000","90","RES Thick Film, 2.2O, 1%, 0.063W, 100ppm/°C, 0402"
"R82","47K","TopLayer","RESC1005X40X25ML05T10","5543.000","2673.000","90",""
"R81","4.7K","TopLayer","RESC1005X40X25LL05T05","5482.803","2683.449","90","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R80","2.2K","TopLayer","RESC1005X40X25NL05T10","5599.000","2671.732","90",""
"R79","10K","TopLayer","RESC1005X40X25LL05T05","5331.000","2693.748","90","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R78","1K","TopLayer","RESC1005X40X25NL05T05","6149.827","2298.000","90","Chip Resistor, 1 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R77","1K","TopLayer","RESC1005X40X25NL05T05","6147.827","2385.716","90","Chip Resistor, 1 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R76","0R","TopLayer","RESC1005X40X25NL05T10","5048.000","1307.173","90",""
"R75","ERJ-2RKF10R0X","TopLayer","FP-ERJ2RK-MFG","5182.000","1309.000","90","RES SMD 10 OHM 1% 1/10W 0402"
"R74","1K","TopLayer","RESC1005X40X25NL05T05","4839.000","3022.000","180","Chip Resistor, 1 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R73","47K","TopLayer","RESC1005X40X25ML05T10","5976.000","3190.162","90",""
"R72","4.7K","TopLayer","RESC1005X40X25LL05T05","5898.000","3191.461","270","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R71","50K","TopLayer","FP-CRCW0402-e3-IPC_A","6062.000","3191.230","90","RES Thick Film, 50kO, 1%, 0.063W, 100ppm/°C, 0402"
"R70","1K","TopLayer","RESC1005X40X25NL05T05","6140.000","3191.461","270","Chip Resistor, 1 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"R69","0R","TopLayer","RESC1005X40X25NL05T10","5980.000","2574.000","180",""
"R68","0R","TopLayer","RESC1005X40X25NL05T10","5977.000","2734.000","180",""
"R67","0R","TopLayer","RESC1005X40X25NL05T10","5977.000","2654.000","180",""
"R66","0R","TopLayer","RESC1005X40X25NL05T10","5964.732","2823.000","180",""
"Q9","FSB560A","TopLayer","FP-527AG-MFG","5792.307","2687.598","0","FSB560A Bipolar Transistors - BJT NPN Transistor Low Saturation"
"Q7","FSB560A","TopLayer","FP-527AG-MFG","5779.000","3199.000","0","FSB560A Bipolar Transistors - BJT NPN Transistor Low Saturation"
"D15","SMCJ60A","TopLayer","LFUS-DO-214AB-2_V","5773.000","505.000","90","Transient Voltage Suppression Diode, 60 V, -65 to 150 degC, 2-Pin DO-214AB (SMCJ), RoHS, Tape and Reel"
"D14","APHHS1005CGCK","TopLayer","FP-APHHS1005CGCK-MFG","5663.000","2670.000","270","LED GREEN CLEAR CHIP SMD"
"D13","SMBJ28CA","TopLayer","FP-SMBJ-CA-MFG","6161.543","694.000","180","TVS DIODE 28V 45.4V DO214AA"
"D12","SMCJ60A","TopLayer","LFUS-DO-214AB-2_V","4560.000","3153.000","180","Transient Voltage Suppression Diode, 60 V, -65 to 150 degC, 2-Pin DO-214AB (SMCJ), RoHS, Tape and Reel"
"D11","SMBJ28CA","TopLayer","FP-SMBJ-CA-MFG","5857.000","3485.000","270","TVS DIODE 28V 45.4V DO214AA"
"D10","SMCJ60A","TopLayer","LFUS-DO-214AB-2_V","3885.000","1182.000","180","Transient Voltage Suppression Diode, 60 V, -65 to 150 degC, 2-Pin DO-214AB (SMCJ), RoHS, Tape and Reel"
"D9","SMCJ60A","TopLayer","LFUS-DO-214AB-2_V","6188.000","1962.000","90","Transient Voltage Suppression Diode, 60 V, -65 to 150 degC, 2-Pin DO-214AB (SMCJ), RoHS, Tape and Reel"
"D8","SMCJ60A","TopLayer","LFUS-DO-214AB-2_V","3892.000","1535.000","180","Transient Voltage Suppression Diode, 60 V, -65 to 150 degC, 2-Pin DO-214AB (SMCJ), RoHS, Tape and Reel"
"CN2","61900211121","TopLayer","FP-61900211121-MFG","5052.000","3695.000","0","CONN HEADER VERT 2POS 2.54MM"
"C35","Capacitor 1µF +/-20% 10V 0402","TopLayer","CAPC0402(1005)60_L","6027.173","1253.442","90","Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm"
"C34","Capacitor 1µF +/-20% 10V 0402","TopLayer","CAPC0402(1005)60_L","6143.331","1256.725","270","Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm"
"C33","Capacitor 1µF +/-20% 10V 0402","TopLayer","CAPC0402(1005)60_L","6094.331","1256.442","270","Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm"
"C32","0.1uF","TopLayer","CAPC1005X55X30LL05T10","4984.000","1304.134","90",""
"C31","0.1uF","TopLayer","CAPC1005X55X30LL05T10","5059.173","828.528","90",""
"J8","CONREVSMA002-G","TopLayer","LINX_CONREVSMA002-G","6162.606","421.606","90","RP-SMA Female Right-Angle Through-Hole Mount Connector, Gold"
"J2","2336582-1","BottomLayer","TE_2336582-1","5295.118","389.087","180","PUSH-PUSH NANO SIM CONNECTOR"
"J5","1725656","TopLayer","PHOE-1725656-2","172.000","3465.000","270","Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 9 mm, Tail Length 3.5 mm"
"U2","ams1117-3.3v","TopLayer","SOT229P700X180-4N","1347.000","3204.000","180","1A LOW DROPOUT VOLTAGE REGULATOR, SOT-223"
"R65","Resistor 0R 0402 63 mW","TopLayer","RESC1005X40X25ML05T10","5154.173","828.701","270","Chip Resistor, 0 Ohm, 0.063 W, -55 to 155 degC, 0402 (1005 Metric)"
